Player,Team,Role,Region
Jv92,W7M,Fragger,BR
Herdz,W7M,Fragger,BR
Felipox,W7M,Support,BR
Nade,W7M,Support,BR
Kheyze,W7M,Fragger,BR
Vitaking,FaZe,Support,BR
Kds,FaZe,Fragger,BR
Cyber,FaZe,Fragger,BR
Soulz,FaZe,Support,BR
Handy,FaZe,Fragger,BR
Doki,G2,Fragger,EU
Alemao,G2,Support,EU
Uuno,G2,Support,EU
Virtue,G2,Fragger,EU
Benja,G2,Fragger,EU
Geo,Soniqs,Support,NA
Gryxr,Soniqs,Fragger,NA
Rexen,Soniqs,Support,NA
Ctzn,Soniqs,Fragger,NA
Ambi,Sonqis,Fragger,NA
Fishlike,Scarz,Support,JP
Pyon,Scarz,Support,JP
Washoy,Scarz,Fragger,JP
Rec,Scarz,Fragger,JP
Taiyou,Scarz,Fragger,JP
Pasha,Virtus Pro,Support,EU
Dan,Virtus Pro,Fragger,EU
Sheppard,Virtus Pro,Support,EU
Always,Virtus Pro,Fragger,EU
Joystick,Virtus Pro,Fragger,EU
Beaulo,DarkZero,Fragger,NA
Canadian,DarkZero,Support,NA
Njr,DarkZero,Fragger,NA
Panba,DarkZero,Fragger,NA
Nath,DarkZero,Support,NA
Yass,Dplus,Fragger,KR
Coted,Dplus,Fragger,KR
Woogiman,Dplus,Fragger,KR
Soldier,Dplus,Support,KR
dmaly,Dplus,Support,KR
J90,SSG,Fraggerm,NA
Ashn,SSG,Fragger,NA
Fultz,SSG,Support,NA
Forrest,SSG,Fragger,NA
Hotan,SSG,Support,NA
Dash,LOS,Fragger,BR
Dotz,LOS,Support,BR
Lobin,LOS,Fragger,BR
Maia,LOS,Fragger,BR
Cameraman,LOS,Support,BR
Nesk,Liquid,Fragger,BR
Paluh,Liquid,Fragger,BR
Resetz,Liquid,Fragger,BR
Lagonis,Liquid,Support,BR
Volpz,Liquid,Support,BR
Kondz,NiP,Support,BR
Muzi,NiP,Fragger,BR
Psycho,NiP,Fragger,BR
Wizard,NiP,Fragger,BR
Pino,NiP,Support,NA
Spoit,M80,Fragger,NA
Dias,M80,Support,NA
Gmz,M80,Fragger,NA
Iconic,M80,Fragger,NA
Yoggah,M80,Support,NA
Mowwwgli,Wolves,Fragger,EU
Biboo,Wolves,Support,EU
Deadshot,Wolves,Fragger,EU
Shinka,Wolves,Support,EU
P4,Wolves,Fragger,EU
Nudl,Geekay,Fragger,MENA
Srsly,Geekay,Support,MENA
Hashom,Geekay,Fragger,MENA
Trixd,Geekay,Support,MENA
Xke,Geekay,Fragger,MENA
Bgman,Fury,Support,SEA
Lycolis,Fury,Support,SEA
Krit,Fury,Fragger,SEA
Dark,Fury,Fragger,SEA
I9,Fury,Fragger,SEA
Fishoguy,Bliss,Support,OCE
Brendo,Bliss,Fragger,OCE
Sageon,Bliss,Fragger,OCE
Wettables,Bliss,Support,OCE
Odah,Bliss,Fragger,OCE
Reeps,Bleed,Fragger,SEA
Terdsta,Bleed,Fragger,SEA
Hovenherst,Bleed,Fragger,SEA
Asphy,Bleed,Support,SEA
Mentalist,Bleed,Support,SEA
Joker619,Falcons,Fragger,MENA
Q6z,Falcons,Support,MENA
Okillz,Falcons,Fragger,MENA
Leadr,Falcons,Support,MENA
Jlad,Falcons,Fragger,MENA
Demic,Fearx,Support,KR
Arukaze,Fearx,Support,KR
Mephi,Fearx,Fragger,KR
Goodboy,Fearx,Fragge,KR
Rin,Fearx,Fragger,KR